drone, Distance: 0.45 m, Angle: 124.16 degrees
drone, Distance: 0.16 m, Angle: 128.16 degrees
drone, Distance: 0.16 m, Angle: 128.16 degrees
drone, Distance: 0.16 m, Angle: 128.16 degrees
drone, Distance: 0.16 m, Angle: 128.26 degrees
drone, Distance: 0.46 m, Angle: 124.16 degrees
drone, Distance: 0.16 m, Angle: 128.38 degrees
drone, Distance: 0.46 m, Angle: 124.16 degrees
drone, Distance: 0.15 m, Angle: 128.48 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.15 m, Angle: 128.50 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.15 m, Angle: 128.51 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.14 m, Angle: 128.54 degrees
drone, Distance: 0.14 m, Angle: 128.55 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.15 m, Angle: 128.39 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.15 m, Angle: 128.24 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.16 m, Angle: 127.48 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.16 m, Angle: 127.49 degrees
drone, Distance: 0.17 m, Angle: 127.32 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.16 m, Angle: 127.36 degrees
drone, Distance: 0.17 m, Angle: 127.15 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.17 m, Angle: 127.27 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.17 m, Angle: 127.25 degrees
drone, Distance: 0.17 m, Angle: 127.27 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.17 m, Angle: 127.25 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.16 m, Angle: 127.43 degrees
drone, Distance: 0.16 m, Angle: 127.36 degrees
drone, Distance: 0.16 m, Angle: 127.30 degrees
drone, Distance: 0.17 m, Angle: 127.19 degrees
drone, Distance: 0.16 m, Angle: 127.24 degrees
drone, Distance: 0.17 m, Angle: 127.21 degrees
drone, Distance: 0.17 m, Angle: 127.21 degrees
drone, Distance: 0.19 m, Angle: 127.00 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 126.78 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.18 m, Angle: 125.87 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.18 m, Angle: 125.84 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.18 m, Angle: 125.99 degrees
drone, Distance: 0.47 m, Angle: 124.08 degrees
drone, Distance: 0.19 m, Angle: 126.04 degrees
drone, Distance: 0.47 m, Angle: 124.08 degrees
drone, Distance: 0.19 m, Angle: 126.37 degrees
drone, Distance: 0.20 m, Angle: 126.63 degrees
drone, Distance: 0.19 m, Angle: 125.64 degrees
drone, Distance: 0.19 m, Angle: 125.59 degrees
drone, Distance: 0.19 m, Angle: 125.72 degrees
drone, Distance: 0.19 m, Angle: 125.72 degrees
drone, Distance: 0.19 m, Angle: 125.69 degrees
drone, Distance: 0.19 m, Angle: 125.63 degrees
drone, Distance: 0.19 m, Angle: 125.60 degrees
drone, Distance: 0.18 m, Angle: 125.49 degrees
drone, Distance: 0.18 m, Angle: 125.42 degrees
drone, Distance: 0.18 m, Angle: 125.16 degrees
drone, Distance: 0.18 m, Angle: 125.16 degrees
drone, Distance: 0.18 m, Angle: 125.15 degrees
drone, Distance: 0.17 m, Angle: 125.14 degrees
drone, Distance: 0.17 m, Angle: 125.13 degrees
drone, Distance: 0.17 m, Angle: 125.20 degrees
drone, Distance: 0.18 m, Angle: 125.46 degrees
drone, Distance: 0.48 m, Angle: 124.18 degrees
drone, Distance: 0.19 m, Angle: 125.61 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.64 degrees
drone, Distance: 0.47 m, Angle: 124.08 degrees
drone, Distance: 0.19 m, Angle: 125.63 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.18 m, Angle: 125.58 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.19 m, Angle: 125.58 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.19 m, Angle: 125.70 degrees
drone, Distance: 0.20 m, Angle: 125.70 degrees
drone, Distance: 0.20 m, Angle: 125.91 degrees
drone, Distance: 0.47 m, Angle: 124.08 degrees
drone, Distance: 0.20 m, Angle: 125.91 degrees
drone, Distance: 0.20 m, Angle: 125.88 degrees
drone, Distance: 0.22 m, Angle: 126.26 degrees
drone, Distance: 0.21 m, Angle: 126.17 degrees
drone, Distance: 0.20 m, Angle: 126.12 degrees
drone, Distance: 0.22 m, Angle: 126.32 degrees
drone, Distance: 0.23 m, Angle: 126.41 degrees
drone, Distance: 0.18 m, Angle: 125.39 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.17 m, Angle: 125.20 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.17 m, Angle: 125.24 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.17 m, Angle: 125.26 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.18 m, Angle: 125.38 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.18 m, Angle: 125.43 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.18 m, Angle: 125.58 degrees
drone, Distance: 0.47 m, Angle: 124.10 degrees
drone, Distance: 0.18 m, Angle: 125.59 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.18 m, Angle: 125.54 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.52 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.52 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.68 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.19 m, Angle: 125.63 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.64 degrees
drone, Distance: 0.47 m, Angle: 124.09 degrees
drone, Distance: 0.19 m, Angle: 125.66 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.19 m, Angle: 125.82 degrees
drone, Distance: 0.47 m, Angle: 124.11 degrees
drone, Distance: 0.19 m, Angle: 125.83 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.20 m, Angle: 125.81 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.20 m, Angle: 125.80 degrees
drone, Distance: 0.47 m, Angle: 124.12 degrees
drone, Distance: 0.20 m, Angle: 125.80 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.20 m, Angle: 125.79 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.20 m, Angle: 125.83 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.20 m, Angle: 125.87 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.21 m, Angle: 125.90 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.23 m, Angle: 126.08 degrees
drone, Distance: 0.46 m, Angle: 124.14 degrees
drone, Distance: 0.23 m, Angle: 126.08 degrees
drone, Distance: 0.46 m, Angle: 124.14 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.24 m, Angle: 126.15 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.24 m, Angle: 126.18 degrees
drone, Distance: 0.46 m, Angle: 124.14 degrees
drone, Distance: 0.24 m, Angle: 126.18 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.27 m, Angle: 126.30 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.29 m, Angle: 126.41 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.29 m, Angle: 126.47 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.32 m, Angle: 126.66 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.37 m, Angle: 127.08 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.37 m, Angle: 127.08 degrees
drone, Distance: 0.41 m, Angle: 127.38 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.42 m, Angle: 127.43 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.44 m, Angle: 127.53 degrees
drone, Distance: 0.44 m, Angle: 127.56 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.48 m, Angle: 127.53 degrees
drone, Distance: 0.48 m, Angle: 127.53 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.49 m, Angle: 127.40 degrees
drone, Distance: 0.50 m, Angle: 127.35 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.51 m, Angle: 127.33 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.51 m, Angle: 127.32 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.53 m, Angle: 127.32 degrees
drone, Distance: 0.53 m, Angle: 127.31 degrees
drone, Distance: 0.47 m, Angle: 127.44 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.49 m, Angle: 127.41 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.03 degrees
drone, Distance: 0.45 m, Angle: 124.03 degrees
drone, Distance: 0.45 m, Angle: 124.05 degrees
drone, Distance: 0.45 m, Angle: 124.06 degrees
drone, Distance: 0.48 m, Angle: 127.65 degrees
drone, Distance: 0.47 m, Angle: 127.67 degrees
drone, Distance: 0.46 m, Angle: 124.07 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.44 m, Angle: 124.13 degrees
drone, Distance: 0.48 m, Angle: 127.58 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.44 m, Angle: 124.04 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.44 m, Angle: 124.08 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.60 m, Angle: 127.03 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.60 m, Angle: 127.01 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.60 m, Angle: 127.01 degrees
drone, Distance: 0.44 m, Angle: 124.09 degrees
drone, Distance: 0.44 m, Angle: 124.08 degrees
drone, Distance: 0.44 m, Angle: 124.09 degrees
drone, Distance: 0.44 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.64 m, Angle: 126.41 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.44 m, Angle: 124.09 degrees
drone, Distance: 0.60 m, Angle: 126.34 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.13 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.56 m, Angle: 126.34 degrees
drone, Distance: 0.45 m, Angle: 124.08 degrees
drone, Distance: 0.58 m, Angle: 126.34 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.58 m, Angle: 126.36 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.58 m, Angle: 126.42 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.58 m, Angle: 126.43 degrees
drone, Distance: 0.45 m, Angle: 124.13 degrees
drone, Distance: 0.58 m, Angle: 126.39 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.14 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.46 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.78 m, Angle: 126.01 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.79 m, Angle: 126.04 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.80 m, Angle: 126.07 degrees
drone, Distance: 0.44 m, Angle: 124.09 degrees
drone, Distance: 0.79 m, Angle: 126.12 degrees
drone, Distance: 0.46 m, Angle: 124.11 degrees
drone, Distance: 0.79 m, Angle: 126.14 degrees
drone, Distance: 0.46 m, Angle: 124.10 degrees
drone, Distance: 0.79 m, Angle: 126.14 degrees
drone, Distance: 0.46 m, Angle: 124.14 degrees
drone, Distance: 0.81 m, Angle: 126.14 degrees
drone, Distance: 0.44 m, Angle: 124.10 degrees
drone, Distance: 0.81 m, Angle: 126.16 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.83 m, Angle: 126.15 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.82 m, Angle: 126.14 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.81 m, Angle: 126.15 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.81 m, Angle: 126.15 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.82 m, Angle: 126.13 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.82 m, Angle: 126.15 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.81 m, Angle: 126.15 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.83 m, Angle: 126.14 degrees
drone, Distance: 0.45 m, Angle: 124.10 degrees
drone, Distance: 0.81 m, Angle: 126.14 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.80 m, Angle: 126.10 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.81 m, Angle: 126.12 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.86 m, Angle: 126.11 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.79 m, Angle: 126.02 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.12 degrees
drone, Distance: 0.46 m, Angle: 124.12 degrees
drone, Distance: 0.45 m, Angle: 124.09 degrees
drone, Distance: 0.45 m, Angle: 124.13 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
drone, Distance: 0.70 m, Angle: 125.99 degrees
drone, Distance: 0.45 m, Angle: 124.11 degrees
